Course,Prerequisite 
ACCT211,ACCT210
ACCT304,ACCT210
ACCT310,ACCT210
ACCT311,ACCT310
ACCT324,ACCT210
ACCT324,BUSA120
ACCT324,MGMT120
ACCT405,ACCT311
ACCT410,ACCT311
MATH432,MATH334
BHEB472,BIBL101
BHEB472,BIBL102
BHEB472,BIBL211
BMIS458,BIBL101
BMIS458,BIBL102
BMIS458,BIBL211
EDUC331,EDUC211
MGMT452,MGMT331
CS315,CS120
MATH463,MATH286
MATH463,MATH361
MUSM442,MUSM441
MUSM442,MUSM430
